"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G10120",755.157722017619,-0.46581965421535,0.0695162559339582,-6.70087374466611,2.07176988487095e-11,3.94828622627582e-11
"AT1G43650",224.163262201392,-2.17489122963531,0.0733847755046215,-29.6368179187023,5.01528724777447e-193,4.18439411935324e-192
"AT1G09960",605.636187841002,-1.51049750046188,0.0428807550841287,-35.2255341002834,8.13074135435506e-272,9.49718619884435e-271
"AT1G51990",0,NA,NA,NA,NA,NA
"AT1G53625",296.291574974231,-4.84473346491423,0.294794605739333,-16.4342676921236,1.08730201964597e-60,3.9678067242103e-60
"AT1G63360",1206.37426081746,8.06244158600473,0.185830009931609,43.3861117963236,0,0
"AT1G33330",387.910609252186,1.14355255135079,0.0416837706907459,27.4339996694364,1.07839373624457e-165,7.84165321787719e-165
"AT1G74929",0,NA,NA,NA,NA,NA
"AT1G63430",1655.6837501072,-0.608545365617903,0.0330679842678038,-18.4028563909293,1.24619109438902e-75,5.15669776770871e-75
"AT1G80720",184.962040383162,0.270858859462502,0.102838121467014,2.63383709852558,0.00844259828289358,0.0118667909756458
"AT1G69770",933.518903394217,0.202895683214844,0.0598007540900907,3.39286161691505,0.000691665706411971,0.0010297613074434
"AT1G08460",1073.23404172748,0.0612264150563214,0.0374813084868101,1.63351861309397,0.102359969314468,0.13209169450552
"AT1G78710",1.17869074349273,-2.34284482465334,0.57706657204594,-4.05992122598088,4.90892745571998e-05,7.698931434859e-05
"AT1G08610",252.657322285503,1.63141056421822,0.0683018252760958,23.8853143034405,4.35272316448269e-126,2.55072894501216e-125
"AT1G17540",3.00446107913616,-4.18697005575095,0.496454299725335,-8.43374719096481,3.34769483485195e-17,7.2041539267107e-17
"AT1G27380",105.175292753015,-3.99347754945279,0.116432040979208,-34.298785075544,8.18150100199e-258,8.97339509659624e-257
"AT1G58643",0,NA,NA,NA,NA,NA
"AT1G48953",0.0616371090944811,-0.00208677632866673,2.95661270345986,-0.00070579968970057,0.999436853371324,0.999509745129342
"AT1G51440",49.4728738755886,0.39409961527855,0.12129133894846,3.24919832442458,0.00115730760277084,0.00170467949172636
"AT1G18871",0,NA,NA,NA,NA,NA
"AT1G25210",0,NA,NA,NA,NA,NA
"AT1G21610",1463.02396708482,0.459976134209565,0.047130207007221,9.75968839133446,1.67669602772224e-22,3.9607454676538e-22
"AT1G79710",468.437354779702,-1.14184375202325,0.111275471382921,-10.2614146481029,1.05154811867129e-24,2.57382905120932e-24
"AT1G80840",694.730223068121,3.28642346296552,0.179353558162083,18.3237148827321,5.35309276125796e-75,2.20356382022162e-74
"AT1G71300",0.387378242313507,-0.081742590586426,0.834561485342983,-0.097946756496715,0.921974572137916,0.956722135333307
"AT1G49490",228.686794708077,1.10132248041509,0.0863887038764275,12.7484547284151,3.17985934049172e-37,9.17341039212508e-37
"AT1G23645",0,NA,NA,NA,NA,NA
"AT1G09795",1846.27776978894,3.47663996199441,0.0420065575839545,82.7642197303594,0,0
"AT1G48690",88.0989710299103,-5.57927307087135,0.197162171296403,-28.2978881505812,3.6689885415802e-176,2.83473652795324e-175
"AT1G49570",1331.3960492034,-9.19499221888394,0.294626181926392,-31.2090125825314,8.04020332778467e-214,7.36278361637655e-213
"AT1G68470",291.411311997021,-2.07297131530686,0.060486795737085,-34.2714685088848,2.08890057269603e-257,2.28655731727735e-256
